id,name,mac_address,serial_num,ip_address,mspec_id,public_key,key_index,zone_code,regcntr_id,lang_code,is_active,cr_by,cr_dtimes
10001,a2ml30846,E8-6A-64-1F-27-E6,NM5328114630,192.168.0.150,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAq5TnNAD1FMWWektYigmUMGw+MtNqjqLWaOZU9focDPT+nwMdw9vOs6S+Szw9Vd+zKVQ3AWkRSyfVD0qxHsPX5N6M6eS/UXvz72WF336MbbInfwzNP+uGfkprMQMt5qg21/rPSqWPU1NA9xN8lO2uPmUH4JNRBGRyvq6X1ETTDhqPsuKDwl9ciBScCMJxf/0bv2Dx7yI8lvYUaApqpoHNbBGVgDcq4f/KRZIU2kO0Ng1ESbj6D5fm0F8ZmFx3NVCKaSbBC8NUeltIRJ6+c9Csw1o23WSFTotViWeIDelsfQDq+tMmx9i9qlX3bcPZdcb7g2wm+4cywK1K5oOf3BEBxwIDAQAB,B5:70:23:28:D4:C1:E2:C4:1C:C1:2A:E8:62:A9:18:3F:28:93:F9:3D:EB:AE:F7:56:FA:0B:9D:D0:3E:87:25:48,NTH,10001,eng,TRUE,superadmin,now()
10002,regclient,00-22-48-41-58-BD,0000-0000-0146-7934-5988-1926-46,20.49.207.144,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAiyTSIIQi/2yeUvGH4a1kA/4bj8U7HVK6hYKvml3JPZeRbQFnJCpV6ivEHpMnAOP+ukf6CpcUbgyOKvldSYpMRu+7w5ofnmrpX3z06B+Sx3hwL4ZtHL0KtEmD1QpbefdE9J1JDDLkeg8bjyuxN4J7W/tGQNGHYb9R8XcGkBw43I8rZrEjpqc528+QTqmdMz4mT2e9gysmMXv5ITRvME8Fu5gsgHLQOeHWIdGrvRH9iT5NTB4PVaLG/sZWlj9A0iAbJns+G//vv2JUgDX6xf2xqSmKvwQj83SJNw6uIrqudoOPZRl+GBcx0dG2QF6QoY20maeD/CyfvYu+/6SJGXs2OwIDAQAB,8e:78:cf:98:03:35:37:45:47:f9:34:4e:96:8f:a2:14:ca:80:a2:14:c9:80:92:10:c7:ab:1d:36:28:ce:c0:32,NTH,10001,eng,TRUE,superadmin,now()
